==3912== NVPROF is profiling process 3912, command: ./maud_stream.exe -B 1024 -N 100000
==3912==  STREAM Benchmark implementation in CUDA
 Array size (single precision)=100000
 using 1024 threads per block, 98 blocks
Function      Rate (MB/s)   Avg time
Copy:      55154.79394498   0.00001450
Scale:     55676.04691813   0.00001437
Add:       82321.77401726   0.00001458
Triad:     81527.57458897   0.00001472
Profiling application: ./maud_stream.exe -B 1024 -N 100000
==3912== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","System","Name","Correlation_ID"
ms,us,,,,,,,,B,B,,,,,,
495.181943,2.304000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",720
495.196279,2.400000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",727
495.210711,2.464000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",735
495.224983,2.272000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",741
495.239415,2.272000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",748
495.256663,2.400000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",755
495.271703,2.368000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",763
495.285718,2.272000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",769
495.299926,2.304000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",776
495.314166,2.400000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",783
495.328470,2.400000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",791
495.342806,2.240000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",797
495.356982,2.272000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",804
495.371638,2.432000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",811
495.386838,2.368000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",819
495.401109,2.272000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",825
495.415253,2.272000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",832
495.429429,2.464000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",839
495.444437,2.368000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",847
495.458645,2.240000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",853
495.472917,2.272000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",860
495.487221,2.400000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",867
495.502068,2.400000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",875
495.516276,2.240000,98,1,1,1024,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",881
